Task.Code,Stanhope PFI Task code,Task.Category,Task.RepairArea,Task.Problem,Task.Item,Task.Priority,Task.Communal,Task.Unit,Task.TenureSharedO,Task.TenureRented,Task.TenureSupported,Task.BookOnline,Task.CategoryTip,Task.RepairAreaTip,Task.TaskItemTip,Task.SpecialistContractor
CAR097,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Communal letterbox is broken,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR097,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Communal letterbox is broken,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR097,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Communal letterbox is broken,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FASLE
CAR047,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door frame rotten or loose,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR047,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door frame rotten or loose,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR047,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door frame rotten or loose,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR033,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,"Door loose, sticking or damaged",R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR033,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,"Door loose, sticking or damaged",R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR033,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,"Door loose, sticking or damaged",R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR101,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door closer is broken,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR101,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door closer is broken,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR101,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Door,Door closer is broken,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.",,FALSE
CAR099,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Locks,Lock is broken,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.","If your door is not secure, please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
CAR099,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Locks,Lock is broken,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.","If your door is not secure, please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
CAR099,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Locks,Lock is broken,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,"The repair and maintenance of internal doors, frames, hinges and locks is the customers responsibility.","If your door is not secure, please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
CAR051,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Draughts and rain,Draught between wall and door frame,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR051,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Draughts and rain,Draught between wall and door frame,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR051,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Draughts and rain,Draught between wall and door frame,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
CAR033,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Draughts and rain,Rain comes in under the door,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR033,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Draughts and rain,Rain comes in under the door,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR033,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Doors and Door Fittings ,Draughts and rain,Rain comes in under the door,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
CAR019,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Windows and Window Fittings ,Jammed windows,Window Jammed,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,"If your window is not secure, please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
CAR019,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Windows and Window Fittings ,Jammed windows,Window Jammed,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,"If your window is not secure, please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
CAR019,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Windows and Window Fittings ,Jammed windows,Window Jammed,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,"If your window is not secure, please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
CAR015 ,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Windows and Window Fittings ,,Faulty window fitting,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,"If your window is not secure, please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
CAR015 ,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Windows and Window Fittings ,,Faulty window fitting,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,"If your window is not secure, please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
CAR015 ,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Windows and Window Fittings ,,Faulty window fitting,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,"If your window is not secure, please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
CAR073,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Kitchen Units,Drawers,Drawer sticking,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR073,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Kitchen Units,Drawers,Drawer sticking,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR073,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Kitchen Units,Drawers,Drawer sticking,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
CAR073,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Kitchen Units,Replace or refix unit,A unit is broken or damaged,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR073,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Kitchen Units,Replace or refix unit,A unit is broken or damaged,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR073,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Kitchen Units,Replace or refix unit,A unit is broken or damaged,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
CAR079,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Kitchen Units,Worktops,Worktop loose - needs refixing,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR079,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Kitchen Units,Worktops,Worktop loose - needs refixing,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR079,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Kitchen Units,Worktops,Worktop loose - needs refixing,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
CAR063,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Stairs and Handrails ,Posts and treads,Stair post loose or broken ,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR063,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Stairs and Handrails ,Posts and treads,Stair post loose or broken ,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR063,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Stairs and Handrails ,Posts and treads,Stair post loose or broken ,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
CAR063,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Stairs and Handrails ,Posts and treads,Stair tread loose or broken ,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR063,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Stairs and Handrails ,Posts and treads,Stair tread loose or broken ,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR063,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Stairs and Handrails ,Posts and treads,Stair tread loose or broken ,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
CAR003,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Floorboards and Skirting ,Floorboards,Loose or noisy floors,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR003,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Floorboards and Skirting ,Floorboards,Loose or noisy floors,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR003,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Floorboards and Skirting ,Floorboards,Loose or noisy floors,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
CAR081,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Floorboards and Skirting ,Skirting board,Loose or broken skirting board,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
CAR081,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Floorboards and Skirting ,Skirting board,Loose or broken skirting board,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
CAR081,397999,"Carpentry (Doors, Windows, Ironmongery & Stairs etc) ",Floorboards and Skirting ,Skirting board,Loose or broken skirting board,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
ELE061,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Communal lighting,Lights problem,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,"If you have no power, check with your provider to see if there has been a power cut. If there hasn't please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
ELE061,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Communal lighting,Lights problem,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,"If you have no power, check with your provider to see if there has been a power cut. If there hasn't please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
ELE061,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Communal lighting,Lights problem,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,"If you have no power, check with your provider to see if there has been a power cut. If there hasn't please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Communal lighting,Emergency lighting faulty,E,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Communal lighting,Emergency lighting faulty,E,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Communal lighting,Emergency lighting faulty,E,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Lighting,More than one light failed,E,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Lighting,More than one light failed,E,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Lighting,More than one light failed,E,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE069,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Lighting,Wall switch failed,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,Can you let us know if an appliance test has been carried out?,FALSE
ELE069,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Lighting,Wall switch failed,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,Can you let us know if an appliance test has been carried out?,FALSE
ELE069,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Lighting,Lighting,Wall switch failed,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,Can you let us know if an appliance test has been carried out?,FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Power Problems,Power,Electrical fitting smoking,E,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Power Problems,Power,Electrical fitting smoking,E,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Power Problems,Power,Electrical fitting smoking,E,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Power Problems,Power,No power,E,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,"If you have no power, check with your provider to see if there has been a power cut. If there hasn't please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Power Problems,Power,No power,E,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,"If you have no power, check with your provider to see if there has been a power cut. If there hasn't please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
ELE087,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Power Problems,Power,No power,E,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,"If you have no power, check with your provider to see if there has been a power cut. If there hasn't please call Moat on 0300 323 0011 to raise an emergency repair.",FALSE
ELE067,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Power Problems,Power,Socket not working or loose from wall,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,Can you let us know if an appliance test has been carried out?,FALSE
ELE067,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Power Problems,Power,Socket not working or loose from wall,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,Can you let us know if an appliance test has been carried out?,FALSE
ELE067,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Power Problems,Power,Socket not working or loose from wall,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,Can you let us know if an appliance test has been carried out?,FALSE
ELE045,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with electric heaters or showers ,Electric heaters,Any electric heater not working,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
ELE045,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with electric heaters or showers ,Electric heaters,Any electric heater not working,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
ELE045,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with electric heaters or showers ,Electric heaters,Any electric heater not working,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
ELE057,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with electric heaters or showers ,Electric shower,Electric shower not working ,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
ELE057,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with electric heaters or showers ,Electric shower,Electric shower not working ,U,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
ELE057,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with electric heaters or showers ,Electric shower,Electric shower not working ,U,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
ELE035,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with fans and smoke detectors,Fans and smoke detectors,Extractor fan faulty,R,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
ELE035,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with fans and smoke detectors,Fans and smoke detectors,Extractor fan faulty,R,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,,,FALSE
ELE035,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with fans and smoke detectors,Fans and smoke detectors,Extractor fan faulty,R,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,,,,FALSE
ELE075,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with fans and smoke detectors,Fans and smoke detectors,Smoke detector faulty,E,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE075,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with fans and smoke detectors,Fans and smoke detectors,Smoke detector faulty,E,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE075,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Problems with fans and smoke detectors,Fans and smoke detectors,Smoke detector faulty,E,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,,,Please call Moat on 0300 323 0011 to raise an emergency repair.,FALSE
ELE049,897999,"Electrical (Lighting, Power Problems and Electric Heaters etc)",Water heated by electricity,No hot water,No hot water,U,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,,,FALSE
